,timesteps,ep_reward,num_updates,episodes
159,14,-26.89867199840497,0,159
160,200,-309.12495339003885,0,160
161,85,-114.87172433347813,0,161
162,18,-33.48598275981352,0,162
163,137,-207.99371576675532,0,163
164,18,-33.31630632378179,0,164
165,22,-36.97324548019235,0,165
166,19,-29.780723094361438,0,166
167,22,-40.02799752920685,0,167
168,23,-42.41246468279177,0,168
169,45,-49.00153075847497,0,169
170,20,-32.197048928206684,0,170
171,91,-134.4579646681601,0,171
172,87,-91.86898533912783,0,172
173,18,-29.83761316252812,0,173
174,16,-28.899554389008483,0,174
175,21,-35.682689882864736,0,175
176,19,-36.040379172946444,0,176
177,19,-35.85041941890052,0,177
178,24,-43.24570234039031,0,178
179,128,-159.32228969911984,0,179
180,141,-148.12764153946918,0,180
181,111,-133.64057113586455,0,181
182,97,-144.23866142622785,0,182
183,16,-29.1141892939609,0,183
184,20,-34.00304265861294,0,184
185,24,-42.762199695262304,0,185
186,25,-46.30005655220781,0,186
187,18,-33.46725619274993,0,187
188,200,-183.91435264657133,0,188
189,85,-98.87669619541448,1,189
190,19,-34.36706545672523,0,190
191,79,-84.70754487024666,0,191
192,141,-191.98070198792888,0,192
193,200,-326.0613258680277,0,193
194,19,-33.64087350702679,0,194
195,88,-90.35747009636374,0,195
196,20,-35.45630867088512,0,196
197,16,-29.155034784821584,0,197
198,91,-102.52147448527325,0,198
199,107,-108.56181717321735,0,199
200,17,-27.80478233772993,0,200
201,17,-29.06072128631755,0,201
202,200,-277.24763253109194,0,202
203,88,-113.7369178966215,0,203
204,16,-30.664926084412844,0,204
205,44,-45.90436641555627,0,205
206,100,-128.05498824627236,0,206
207,170,-192.12926671522953,0,207
208,18,-32.92683271893924,0,208
209,17,-29.371090510254977,0,209
210,83,-89.26871871850241,0,210
211,21,-39.13703636493988,0,211
212,46,-49.774143204974365,0,212
213,109,-133.63093471644808,0,213
214,17,-30.82131597255499,0,214
215,200,-304.90294496974167,1,215
216,25,-42.84428253188105,0,216
217,16,-28.65765739292151,0,217
218,81,-83.21513355237212,0,218
219,20,-36.46995400319679,0,219
220,171,-202.51482722258578,0,220
221,18,-30.122638380444382,0,221
222,200,-240.20147637356865,0,222
223,86,-116.68069870209429,0,223
224,136,-185.93978671824647,0,224
225,197,-218.97486259398306,0,225
226,20,-34.255828682628234,0,226
227,168,-257.81417597478327,0,227
228,18,-31.721911742750667,0,228
229,18,-30.5594537594557,0,229
230,200,-248.0562324243466,0,230
231,161,-249.19017859496466,0,231
232,21,-37.98831236399956,0,232
233,15,-25.95169352209886,0,233
234,200,-249.30468687768374,0,234
235,20,-33.322041622967006,0,235
236,17,-30.17646720263986,0,236
237,45,-46.776190927788406,0,237
238,16,-29.53091773738399,0,238
239,118,-147.51126156549643,0,239
240,17,-28.787154489692817,1,240
241,16,-24.88628718043893,0,241
242,16,-29.45887212212401,0,242
243,86,-107.64340622347815,0,243
244,49,-53.07970632849376,0,244
245,26,-45.86272178461222,0,245
246,16,-27.53467822371125,0,246
247,21,-37.46029719817291,0,247
248,15,-25.988781344587313,0,248
249,18,-30.976500802341942,0,249
250,17,-30.494217610313253,0,250
251,16,-27.48869710709413,0,251
252,200,-275.3103882235625,0,252
253,200,-252.09555851701995,0,253
254,200,-244.98901332881437,0,254
255,22,-37.19139580352912,0,255
256,19,-30.237647561158266,0,256
257,19,-35.13267585883802,0,257
258,17,-29.08214321337703,0,258
259,17,-27.728794156824552,0,259
260,46,-46.75701312376712,0,260
261,15,-25.110258516345564,0,261
262,14,-26.320549169395477,0,262
263,16,-29.43403894916209,0,263
264,200,-212.1208361251327,0,264
265,19,-33.01692399333918,0,265
266,103,-117.57867177771381,0,266
267,15,-26.03733467696168,0,267
268,18,-32.37324337739979,0,268
269,112,-140.6749227032507,0,269
270,200,-247.9546535224799,0,270
271,19,-32.82288922661613,0,271
272,14,-24.780309520562195,0,272
273,16,-28.66696958073111,0,273
274,112,-131.07265272251868,0,274
275,20,-35.40257355099903,0,275
276,19,-34.32764015078153,0,276
277,20,-33.31362308276961,0,277
278,147,-164.24756725143402,1,278
279,100,-94.4537404057015,0,279
280,15,-26.15923456921953,0,280
281,15,-25.663250471680126,0,281
282,17,-30.387294175156892,0,282
283,20,-34.20871645199976,0,283
284,95,-84.10930223071784,0,284
285,21,-38.864791792743866,0,285
286,16,-25.86540639868697,0,286
287,196,-217.36529532819173,0,287
288,21,-38.399248613692606,0,288
289,16,-30.04811346663024,0,289
290,16,-29.19112747559858,0,290
291,16,-29.51954222697066,0,291
292,16,-27.774576565779387,0,292
293,149,-170.07944266153254,0,293
294,17,-31.837802813498083,0,294
295,15,-25.726619409313404,0,295
296,81,-120.300497637886,0,296
297,45,-46.89343785521483,0,297
298,14,-24.933416889461032,0,298
299,200,-234.70847766916305,0,299
300,200,-217.74285744416383,0,300
301,15,-27.551938515889066,0,301
302,20,-36.97234080738789,0,302
303,17,-28.563221661507725,0,303
304,90,-121.01337780047592,0,304
305,84,-92.63066712237018,0,305
306,17,-31.433132556307815,0,306
307,91,-110.12439624836647,0,307
308,18,-31.338878701700107,0,308
309,17,-31.69800717335611,0,309
310,16,-28.41431328017224,0,310
311,16,-28.757692692587273,0,311
312,15,-26.056720949015702,0,312
313,15,-27.995385178810505,0,313
